Difficulty,Name,Desciption,,Devin,Luke,Scott,Hebah,Bob,ScottEvilTwin,,Asked By:
Easy,Check equality,Check whether two integers are equal or not,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Even or Odd,Check whether a given number is even or odd,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Positive or Negative,Check whether a given number is positive or negative,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Leap Year,Find whether a given year is a leap year or not,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Legal Age,Check whether a person is the legal drinking age,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Coordinates,Find the quadrant of a given coordinate,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Establish Array,Store elements into an array and print the array,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Find smallest value,Find the smallest value in int array,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Find largest value,Find the largest value in int array,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Sum of Values,Find the sum of all values in an array,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Copy Array Values,Copy values from one array into another and print,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Reverse an Array,Do without array.reverse(),,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Concatinate 2 arrays,One after the other,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Find the index of,Find the index of a value in an array,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Unique Values,Print all the unique values in an array,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
Easy,Format number,Insert commas in the correct places,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Easy,Generate int array,Return filled int array of specified size,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Easy,Fibonacci,Compute the fibonacci seq. to 'n' ,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Easy,Remove duplicates,Remove duplicates from an array,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Easy,Average of array,Get the average value from an int array,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Easy,Find the addends,"Given a list of numbers and a number k, return whether any two numbers from the list add up to k.",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,Google
Easy,Check Password,"Some websites impose certain rules for passwords. Write a method that checks whether a string is a valid password. Supposed the password rules are as follows:

- A password must have at least 8 characters
- A password consists of only letters and digits
- A password must contain at least two digits

Write a program that prompts the user to enter a password and diplays ""Valid Password"" if the rules are followed or ""Invalid Password"" otherwise.",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Stack,Implement basic stack,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Queue,Implement basic queue,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
Medium,Palindrome checker,Check if input is a palidrome,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
